platform,verdict,app,bundle_id,source,occurrences,reasons
TCL,maybe,,,,92,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
TCL,unlikely,Tcl Channel,com.tcl.waterfall.overseas,WURL,54,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model | app-name pattern suggests FAST/24h channel → SSAI typical | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
TCL,maybe,Browsehere,com.tcl.browser,,53,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
Roku,no,,,,51,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
TCL,maybe,Movieark,com.tcl.movieark,,44,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
Samsung,maybe,,com.samsung.royalty_gaming,,37,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
TCL,maybe,,com.tcl.movieark,,36,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
Vidaa,maybe,,com.vidaa.annoying_orange,,33,"Hisense Vidaa OS (Linux+browser); depends on IMA HTML5 usage"
Android,yes,Com.Rumble.Androidtv.App,com.rumble.battles,,29,"Android TV / Google TV; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,Milo And Chip,com.samsung.milo_and_chip,Playwork,28,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Tubi,unlikely,Tubi: Free Movies & Live Tv,com.tubitv,,28,"Fox-owned Tubi runs its own ad SDK; SIMID acceptance unconfirmed | app-name pattern suggests FAST/24h channel → SSAI typical"
LG,maybe,Ssundee,com.lg.ssundee,Playwork,27,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Samsung,maybe,,com.samsung.the_royalty_family,,27,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.like_nastya,,26,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
LG,maybe,Like Nastya Spain,com.lg.like_nastya_spain,Playwork,26,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Samsung,maybe,Ssundee,com.samsung.ssundee,Playwork,26,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.xnestorio,,26,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.bestofminecraft,,24,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.like_nastya_spain,,24,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
LG,maybe,,com.lg.alexa_rivera,,22,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Samsung,maybe,,com.samsung.milo_and_chip,,22,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
LG,unlikely,Ninja Kids Tv,com.lg.ninja_kids_tv,Playwork,22,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5 | app-name pattern suggests FAST/24h channel → SSAI typical"
Samsung,maybe,,com.samsung.bestofroblox,,21,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Android,yes,,,,21,"Android TV / Google TV; IMA Android SDK supports SIMID 1.0"
TCL,maybe,,com.tcl.tv.plus,,21,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
Samsung,maybe,Jordan Matter,com.samsung.jordan_matter,Playwork,20,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.ali_a,,19,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.daylin_funhouse,,19,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
TCL,unlikely,Live Tv,com.tcl.livetv,,19,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model | app-name pattern suggests FAST/24h channel → SSAI typical"
Vizio,maybe,,com.tubitv.vizio,,19,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Samsung,maybe,The Royalty Family,com.samsung.the_royalty_family,Playwork,18,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Bestofamongus,com.samsung.bestofamongus,Playwork,17,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
LG,maybe,,com.lg.karla_bustillos,,17,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Fire TV,yes,,,,16,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B0CLKVYQJ1,,16,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
LG,maybe,,com.lg.ninja_kids_tv,,16,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Tubi,unlikely,,,WURL,16,"Fox-owned Tubi runs its own ad SDK; SIMID acceptance unconfirmed | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Samsung,maybe,Bestofroblox,com.samsung.bestofroblox,Playwork,15,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
TCL,maybe,,com.tcl.livetv,,15,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
Vidaa,maybe,Annoying Orange,com.vidaa.annoying_orange,Playwork,14,"Hisense Vidaa OS (Linux+browser); depends on IMA HTML5 usage"
Samsung,maybe,Bestofamongus,com.samsung.best_of_gta,Playwork,14,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Bestofminecraft,com.samsung.bestofminecraft,Playwork,14,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
LG,maybe,,com.lg.mau_mcmahon,,14,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Samsung,maybe,,com.samsung.meenyu,,14,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
LG,maybe,,com.lg.pwkids,,14,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Samsung,maybe,Royalty Gaming,com.samsung.royalty_gaming,Playwork,14,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
TCL,maybe,,com.tcl.waterfall.overseas,,14,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
Samsung,maybe,,com.samsung.alexa_rivera,,13,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Meenyu,com.samsung.meenyu,Playwork,13,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,,B0CWFQMVH7,,13,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,Bestofgaminganimation,com.samsung.,Playwork,12,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.jordan_matter,,12,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
TCL,maybe,Tubitv,B075NTHVJW,,12,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
